Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,,,,,
Disciples,5EehXjjMktLuJmbRsM7YfB,They Don't Know - Original Mix,0.0132,0.807,0.778,0.666,0,0.109,-5.485,0.0399,120.001,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Remedy,0.0321,0.738,0.965,0.0128,0,0.111,-3.154,0.0776,123.047,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,One In A Trillion,0.0566,0.685,0.804,0,4,0.114,-3.963,0.0849,125.965,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Secret Stash,0.0473,0.686,0.851,0.0195,0,0.109,-2.723,0.0476,123.055,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Feels So Good,0.0177,0.634,0.903,0.0636,9,0.089,-4.46,0.0414,126.009,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,The Gift - Mark Knight Remix,0.0498,0.639,0.954,0.427,6,0.102,-6.314,0.0987,124.05,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Deeper Love - Radio Edit,0.106,0.67,0.763,0,9,0.0432,-5.449,0.071,123.923,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Meant To Be,0.00119,0.599,0.796,0.128,0,0.137,-6.865,0.0378,124.012,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Outlines - Radio Edit,0.0827,0.738,0.76,0.0834,9,0.13,-7.359,0.0692,122.952,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Dangerous Behaviour,0.0991,0.646,0.829,0,8,0.347,-4.629,0.14,90.005,,,,
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Wasted So Much Of My Life,0.19,0.566,0.953,0.248,4,0.0987,-3.365,0.0573,125.018,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Indiana,0.0408,0.643,0.819,1.96E-05,5,0.263,-4.968,0.0368,119.976,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Body Talk,0.04,0.792,0.787,0.00295,5,0.166,-5.299,0.0416,120.004,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Sweetest Thing - Club Mix,0.00486,0.637,0.801,0.116,5,0.359,-5.136,0.0625,124.008,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Thinking About It - Radio Edit,0.0237,0.69,0.836,0.000116,5,0.112,-6.224,0.038,119.999,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,My Life,0.00169,0.783,0.874,1.08E-06,3,0.111,-4.945,0.071,119.994,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Hysteria,0.0155,0.666,0.881,0.00158,2,0.111,-4.886,0.0386,121.002,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,More To Life,0.0129,0.68,0.814,7.08E-05,9,0.283,-4.228,0.13,121.027,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Won't Let You Down,0.0852,0.586,0.899,0,4,0.355,-3.458,0.0682,119.856,,,,
